id,date,year,Single year,age,avg,total
1,yes,2008,Single year,34,22.57154429,45.42845571
2,yes,2009,Single year,41,28.45010711,53.54989289
3,yes,2010,Single year,48,34.42097119,61.57902881
4,no,2011,Single year,39,40.39183527,69.60816473
5,yes,2012,Single year,32,46.36269935,77.63730065
6,yes,2013,Single year,37,52.33356343,85.66643657
7,no,2014,Single year,46,32.7068775,93.69557249
8,yes,2015,Single year,41,28.45010711,101.7247084
9,no,2016,Single year,36,24.24021609,109.7538443
10,yes,2017,Single year,40,27.60409935,117.7829803
